0,0
1.1,0
2.1,259
3.2,950
4.3,2399
5.4,4326
6.4,6474
7.4,8044
8.5,8910
9.5,8990
10.5,8776
11.4,8488
12.4,8376
13.4,8340
14.3,8330
15.3,8262
16.2,8143
17.2,7936
18.1,7677
19,7364
19.9,7051
20.8,6751
21.6,6506
22.5,6308
23.4,6163
24.2,6037
25.1,5929
25.9,5826
26.7,5744
27.5,5703
28.3,5714
29.1,5790
29.9,5920
30.7,6098
31.5,6299
32.3,6507
33,6711
33.8,6911
34.5,7138
35.3,7415
36,7783
36.7,8240
37.5,8763
38.2,9279
38.9,9698
39.6,9973
40.3,10084
41,10105
41.6,10076
42.3,10066
43,10051
43.6,10011
44.3,9892
45,9624
45.6,9178
46.2,8497
46.9,7653
47.5,6702
48.1,5801
48.7,4990
49.3,4314
50,3704
50.6,3139
51.2,2589
51.7,2099
52.3,1679
52.9,1354
53.5,1103
54.1,915
54.6,764
55.2,646
55.7,549
56.3,470
56.8,407
57.4,355
57.9,314
58.5,281
59,254
59.5,233
60,216
60.6,202
61.1,190
61.6,178
62.1,165
62.6,152
63.1,139
63.6,126
64.1,111
64.6,95
65,78
65.5,62
66,49
66.5,39
66.9,32
67.4,29
67.9,27
68.3,26
68.8,26
69.2,26
69.7,27
70.1,27
70.6,29
71,32
71.4,34
71.9,35
72.3,34
72.7,31
73.1,27
73.6,23
74,19
74.4,17
74.8,14
75.2,13
75.6,11
76,10
76.4,9
76.8,9
77.2,11
77.6,14
78,21
78.4,27
78.7,34
79.1,37
79.5,39
79.9,38
80.2,36
80.6,33
81,30
81.3,26
81.7,22
82.1,18
82.4,15
82.8,13
83.1,12
83.5,12
83.8,12
84.2,12
84.5,13
84.9,14
85.2,15
85.5,16
85.9,19
86.2,21
86.5,24
86.9,26
87.2,26
87.5,24
87.8,21
88.2,16
88.5,12
88.8,8
89.1,6
89.4,5
89.7,7
90,9
90.3,12
90.7,14
91,14
91.3,14
91.6,14
91.9,15
92.2,17
92.4,20
92.7,23
93,24
93.3,23
93.6,20
93.9,16
94.2,14
94.5,12
94.7,12
95,13
95.3,14
95.6,14
95.8,15
96.1,14
96.4,13
96.6,11
96.9,9
97.2,7
97.4,6
97.7,5
98,5
98.2,5
98.5,6
98.7,8
99,11
99.3,15
99.5,20
99.8,26
100,33
100.3,41
100.5,48
100.8,56
101,62
101.2,66
101.5,67
101.7,64
102,58
102.2,50
102.4,41
102.7,33
102.9,27
103.1,24
103.4,24
103.6,27
103.8,32
104.1,37
104.3,42
104.5,45
104.7,47
105,45
105.2,41
105.4,34
105.6,26
105.8,19
106.1,13
106.3,10
106.5,9
106.7,11
106.9,16
107.1,22
107.3,29
107.5,35
107.8,38
108,38
108.2,34
108.4,29
108.6,23
108.8,18
109,15
109.2,13
109.4,13
109.6,13
109.8,13
110,12
110.2,11
110.4,10
110.6,9
110.8,10
111,10
111.2,9
111.3,8
111.5,8
111.7,7
111.9,6
112.1,6
112.3,5
112.5,4
112.7,3
112.8,1
113,1
113.2,0
113.4,0
113.6,0
113.7,0
