,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c,10a,10b,10c,11a,11b,11c,12a,12b,12c,13a,13b,13c,14a,14b,14c,15a,15b,15c,16a,16b,16c,17a,17b,17c,18a,18b,18c,19a,19b,19c,20a,20b,20c,21a,21b,21c,22a,22b,22c,23a,23b,23c,24a,24b,24c,25a,25b,25c,26a,26b,26c,27a,27b,27c,28a,28b,28c,29a,29b,29c,30a,30b,30c,31a,31b,31c,32a,32b,32c,33a,33b,33c,34a,34b,34c,35a,35b,35c,36a,36b,36c,37a,37b,37c,38a,38b,38c,39a,39b,39c,40a,40b,40c,41a,41b,41c,42a,42b,42c,43a,43b,43c,44a,44b,44c,45a,45b,45c,46a,46b,46c,47a,47b,47c,48a,48b,48c,49a,49b,49c,50a,50b,50c,51a,51b,51c,52a,52b,52c,53a,53b,53c,54a,54b,54c,55a,55b,55c,56a,56b,56c,57a,57b,57c,58a,58b,58c,59a,59b,59c,60a,60b,60c
11_10_2016,55,56,60,68,72,66,82,73,74,74,73,72,70,67,71,60,63,61,76,73,79,81,75,76,63,61,62,65,69,64,72,69,75,74,73,73,78,80,83,71,69,71,61,62,61,65,64,65,78,82,80,72,70,73,66,66,69,60,61,72,73,75,75,82,80,80,62,60,65,58,56,61,55,52,55,60,60,60,81,76,83,68,65,69,58,61,56,65,60,60,78,74,83,71,70,71,60,62,63,55,56,51,78,80,80,69,69,68,68,71,74,72,75,78,60,58,58,55,56,49,74,69,72,70,70,70,61,59,62,66,63,65,64,65,66,73,73,73,60,63,60,64,66,62,60,60,60,66,68,63,68,73,67,74,70,73,68,68,71,57,55,61,73,73,74,78,78,78,62,63,61,63,66,63,76,79,73,70,68,70
14_10_2016,59,58,63,70,78,70,78,75,78,78,75,80,73,70,72,67,66,65,76,77,80,80,78,87,66,64,67,68,69,68,74,73,76,77,73,75,28?,78,82,74,72,76,66,68,67,71,68,68,84,87,83,76,75,75,70,70,61,64,66,65,77,76,80,85,83,84,68,65,70,61,59,65,58,53,60,65,60,64,87,81,90,69,70,76,66,65,64,66,63,65,83,78,88,76,74,74,64,70,71,61,59,59,83,83,78,71,71,70,76,76,78,78,80,84,66,62,60,53,56,55,78,75,75,75,73,73,64,66,68,68,67,69,69,68,74,78,76,83,63,66,64,66,67,62,65,65,65,68,72,67,69,68,69,78,78,82,73,69,71,63,59,60,73,78,73,83,80,80,65,67,66,72,75,62,74,81,76,69,66,70
23_9_2016,35,30,32,38,50,41,39,38,38,43,41,45,37,37,39,38,37,37,50,47,53,43,41,46,33,33,33,36,38,36,42,41,48,41,41,41,43,48,48,43,43,41,37,36,36,41,36,38,41,41,39,41,41,41,41,40,38,36,36,36,46,48,44,45,44,45,34,33,34,38,32,36,30,31,37,41,35,35,48,44,51,43,41,42,33,43,30,35,40,38,49,42,47,39,36,39,36,35,36,36,35,32,41,38,40,42,41,48,39,38,40,41,41,41,42,31,31,26,28,29,44,41,43,43,39,38,35,34,37,35,35,35,40,37,40,41,39,40,35,35,40,36,35,34,35,36,36,37,36,35,39,40,45,38,36,40,38,38,40,32,31,36,41,42,40,43,46,44,35,36,35,34,36,31,43,45,46,40,36,35
27_9_2016,36,38,42,45,49,46,46,47,46,50,50,50,44,43,44,45,42,43,54,56,56,54,50,52,38,41,40,41,42,42,47,45,48,48,47,48,51,51,50,47,47,48,43,41,40,45,44,47,49,51,47,48,48,48,45,46,43,40,42,43,52,53,52,51,49,51,41,38,40,39,41,46,38,33,35,40,42,41,53,53,56,45,44,46,36,38,40,41,41,40,54,49,60,45,49,46,42,46,43,37,41,50,47,46,50,46,50,48,51,45,50,46,48,55,36,37,37,30,32,31,48,47,48,48,46,48,43,40,41,42,41,41,43,44,46,48,50,46,42,40,41,40,41,41,41,46,43,43,44,47,48,47,49,46,49,49,44,43,46,41,36,41,49,50,58,53,51,53,46,46,43,40,44,37,51,52,51,45,43,43
28_10_2016,70,68,72,84,88,81,85,84,81,98,93,130?,94,130?,93,89,81,82,89,86,130?,101,100,103,84,76,78,83,88,88,91,90,86,84,81,85,102,97,98,91,92,93,86,80,83,78,77,79,6?,103?,101,93,100,96,80,82,79,86,83,82,89,130?,88,106,103,130?,84,76,83,80,79,77,78,73,77,94,91,91,130?,96,100,83,83,85,84,86,83,85,83,81,104,130?,107,130?,88,86,81,88,86,76,86,77,96,98,99,85,82,84,94,96,96,96,98,102,81,78,86,65,70,66,99,93,93,130?,88,130?,83,83,84,84,81,86,80,76,77,99,98,102,81,87,80,80,81,81,86,81,81,90,98,93,84,86,80,98,96,96,88,76,130?,77,70,82,89,86,88,100,93,91,84,84,82,86,89,84,88,91,85,76,73,81
8_11_2016,70,70,71,90,92,91,81,84,84,104,103,104,100,102,104,93,92,90,98,91,130?,130?,106,130?,88,86,86,84,93,86,94,101,101,89,88,90,105,102,101,94,98,98,85?,91,90,87,83,88,100,30?,24?,94,98,102,87,81,79,89,92,91,98,91,96,113,112,110,88,81,96,89,90,84,81,91,81,95,98,92,130?,104,107,88,93,93,78,81,84,101,89,87,112,110,113,98,93,97,91,95,91,83,84,82,106,108,103,92,94,91,99,101,98,101,102,110,85,90,83,78,75,68,97,96,102,96,91,96,86,86,100,91,88,86,83,84,83,99,92,102,130?,94,84,94,94,88,91,94,94,101,102,103,97,97,90,102,99,130?,97,91,92,82,75,80,93,98,92,105,104,110,90,93,91,90,98,84,99,103,95,86,74,86
